{Anser_sphenocercus, Eublepharis_aegagrus} {Apus_zonata, Podoces_alpestris}
{Eublepharis_aegagrus, Iomachus_teniotis} {Liasis_homeana, Sorex_unicolor}
{Eublepharis_aegagrus, Iomachus_teniotis} {Liasis_homeana, Sterna_bewickii}
{Eublepharis_aegagrus, Iomachus_teniotis} {Limnodromus_smithi, Numenius_aceras}
{Eublepharis_aegagrus, Iomachus_teniotis} {Limnodromus_smithi, Pratincola_vulgaris}
{Eublepharis_aegagrus, Iomachus_teniotis} {Limnodromus_smithi, Sorex_unicolor}
{Eublepharis_aegagrus, Iomachus_teniotis} {Limnodromus_smithi, Sterna_bewickii}
{Eublepharis_aegagrus, Iomachus_teniotis} {Numenius_aceras, Pratincola_vulgaris}
{Eublepharis_aegagrus, Iomachus_teniotis} {Numenius_aceras, Sorex_unicolor}
{Eublepharis_aegagrus, Iomachus_teniotis} {Numenius_aceras, Sterna_bewickii}
{Eublepharis_aegagrus, Iomachus_teniotis} {Pratincola_vulgaris, Sorex_unicolor}
{Eublepharis_aegagrus, Iomachus_teniotis} {Pratincola_vulgaris, Sterna_bewickii}
{Eublepharis_aegagrus, Iomachus_teniotis} {Sorex_unicolor, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Apus_zonata}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Boa_altaicus}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Eublepharis_aegagrus}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Iomachus_teniotis}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Lepidobatrachus_salei}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Limnodromus_smithi}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Alpes_lavaretus, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Boa_altaicus}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Eublepharis_aegagrus}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Iomachus_teniotis}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Lepidobatrachus_salei}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Limnodromus_smithi}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Apus_zonata, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Eublepharis_aegagrus}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Iomachus_teniotis}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Lepidobatrachus_salei}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Limnodromus_smithi}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Boa_altaicus, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Iomachus_teniotis}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Lepidobatrachus_salei}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Limnodromus_smithi}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Eublepharis_aegagrus, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Lepidobatrachus_salei}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Limnodromus_smithi}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Iomachus_teniotis, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Limnodromus_smithi}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Lepidobatrachus_salei, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Limnodromus_smithi, Numenius_aceras}
{Anser_sphenocercus, Cygnus_torquatus} {Limnodromus_smithi, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Limnodromus_smithi, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Limnodromus_smithi, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Limnodromus_smithi, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Limnodromus_smithi, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Numenius_aceras, Podoces_alpestris}
{Anser_sphenocercus, Cygnus_torquatus} {Numenius_aceras, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Numenius_aceras, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Numenius_aceras, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Numenius_aceras, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Podoces_alpestris, Pratincola_vulgaris}
{Anser_sphenocercus, Cygnus_torquatus} {Podoces_alpestris, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Podoces_alpestris, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Podoces_alpestris, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Pratincola_vulgaris, Procellaria_pyromelana}
{Anser_sphenocercus, Cygnus_torquatus} {Pratincola_vulgaris, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Pratincola_vulgaris, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Procellaria_pyromelana, Sterna_bewickii}
{Anser_sphenocercus, Cygnus_torquatus} {Procellaria_pyromelana, Trachemys_tatarica}
{Anser_sphenocercus, Cygnus_torquatus} {Sterna_bewickii, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Apus_zonata}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Boa_altaicus}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Eublepharis_aegagrus}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Iomachus_teniotis}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Lepidobatrachus_salei}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Limnodromus_smithi}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Alpes_lavaretus, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Boa_altaicus}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Eublepharis_aegagrus}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Iomachus_teniotis}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Lepidobatrachus_salei}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Limnodromus_smithi}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Apus_zonata, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Eublepharis_aegagrus}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Iomachus_teniotis}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Lepidobatrachus_salei}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Limnodromus_smithi}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Boa_altaicus, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Iomachus_teniotis}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Lepidobatrachus_salei}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Limnodromus_smithi}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Lepidobatrachus_salei}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Limnodromus_smithi}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Iomachus_teniotis, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Limnodromus_smithi}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Limnodromus_smithi, Numenius_aceras}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Limnodromus_smithi, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Limnodromus_smithi, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Limnodromus_smithi, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Limnodromus_smithi, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Limnodromus_smithi, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Numenius_aceras, Podoces_alpestris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Numenius_aceras, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Numenius_aceras, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Numenius_aceras, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Numenius_aceras, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Podoces_alpestris, Pratincola_vulgaris}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Podoces_alpestris, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Podoces_alpestris, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Podoces_alpestris, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Pratincola_vulgaris, Procellaria_pyromelana}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Pratincola_vulgaris, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Pratincola_vulgaris, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Procellaria_pyromelana, Sterna_bewickii}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Procellaria_pyromelana, Trachemys_tatarica}
{Anser_sphenocercus, Ethmostigmus_platycephala} {Sterna_bewickii, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Apus_zonata}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Boa_altaicus}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Eublepharis_aegagrus}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Iomachus_teniotis}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Lepidobatrachus_salei}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Limnodromus_smithi}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Alpes_lavaretus, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Boa_altaicus}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Eublepharis_aegagrus}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Iomachus_teniotis}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Lepidobatrachus_salei}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Limnodromus_smithi}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Apus_zonata, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Eublepharis_aegagrus}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Iomachus_teniotis}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Lepidobatrachus_salei}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Limnodromus_smithi}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Boa_altaicus, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Lepidobatrachus_salei}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Limnodromus_smithi}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Eublepharis_aegagrus, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Lepidobatrachus_salei}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Limnodromus_smithi}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Iomachus_teniotis, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Limnodromus_smithi}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Lepidobatrachus_salei, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Limnodromus_smithi, Numenius_aceras}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Limnodromus_smithi, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Limnodromus_smithi, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Limnodromus_smithi, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Limnodromus_smithi, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Limnodromus_smithi, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Numenius_aceras, Podoces_alpestris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Numenius_aceras, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Numenius_aceras, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Numenius_aceras, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Numenius_aceras, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Podoces_alpestris, Pratincola_vulgaris}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Podoces_alpestris, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Podoces_alpestris, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Podoces_alpestris, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Pratincola_vulgaris, Procellaria_pyromelana}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Pratincola_vulgaris, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Pratincola_vulgaris, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Procellaria_pyromelana, Sterna_bewickii}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Procellaria_pyromelana, Trachemys_tatarica}
{Cygnus_torquatus, Ethmostigmus_platycephala} {Sterna_bewickii, Trachemys_tatarica}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Apus_zonata}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Ethmostigmus_platycephala}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Eublepharis_aegagrus}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Iomachus_teniotis}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Liasis_homeana}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Numenius_aceras}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Podoces_alpestris}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Pratincola_vulgaris}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Procellaria_rubicola}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Sorex_unicolor}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Sterna_bewickii}
{Balaenoptera_dives, Lepidobatrachus_salei} {Alpes_lavaretus, Trachemys_tatarica}
